Explanation ,LR R2,LR RMSE,MLR R2,MLR RMSE,PR R2,PR RMSE,RR R2,RR RMSE
Without normalization or standardization,0.857939389510884,2.68904969192581,0.817083792142294,3.05132230732052,0.857930047135418,2.68913811087167,0.900151673764251,2.25440731022803
All columns standardized not any column dropped,0.857939389510884,0.377727288328106,-1.13435453452659E-06,1.0021708559001,0.857929949287545,0.377739838501985,0.900151725581938,0.316673560058836
"All columns standardized, Pressure3pm is dropped",0.8451640533752198,0.3943459812924858,-1.1343545345265937e-06,1.0021708559000984,0.8451514572330954,0.3943620212919686,0.8902842193450056,0.3319525975277347
"All columns standardized, Pressure3pm is dropped",0.845,0.394,-0.0,1.002,0.845,0.394,0.89,0.332
